Word,Frequency
briefly,10
khaki,10
movement,10
broke,10
rapidly,10
empty,10
neck,10
wouldn,10
blinkin,10
lookin,10
should,10
girl,10
silence,10
sleep,10
slid,10
vanished,10
ducked,10
ours,10
nearer,10
ammunition,10
station,10
happened,10
sharply,10
highlander,10
sudden,10
breath,10
companion,10
haze,10
hot,10
remarked,10
crouched,10
wide,10
need,10
defense,10
un,10
opening,10
yes,10
nodded,10
lip,10
cheerfully,10
retire,10
chick,10
else,9
note,9
joined,9
though,9
army,9
escape,9
wish,9
tank,9
died,9
morning,9
mighty,9
agreed,9
easy,9
steadily,9
sense,9
flank,9
particular,9
real,9
occupied,9
third,9
explained,9
standing,9
flame,9
range,9
beginning,9
breech,9
fall,9
roaring,9
likely,9
glanced,9
grew,9
proceeded,9
boot,9
mark,9
succession,9
jump,9
rising,9
bare,9
crouching,9
fairly,9
banging,9
loud,9
pushing,9
shattered,9
patch,9
warning,9
twisted,9
crawling,9
knee,9
blow,9
hail,9
afraid,9
try,9
haste,9
bunch,9
crashing,9
cautiously,9
water,9
hurried,9
faint,9
yell,9
party,9
threw,9
careful,9
bombing,9
effort,9
anxiously,9
swiftly,9
situation,9
attacker,9
met,9
bomber,9
thrust,9
fit,9
verse,9
cable,8
due,8
leading,8
different,8
service,8
pas,8
certainly,8
interested,8
glad,8
seat,8
wave,8
metal,8
tried,8
believe,8
swung,8
laid,8
journey,8
safety,8
slow,8
disappeared,8
lower,8
reason,8
occasional,8
shootin,8
true,8
telephone,8
boche,8
clean,8
meaning,8
ow,8
finished,8
luck,8
maybe,8
missed,8
zone,8
space,8
seemed,8
question,8
promptly,8
distance,8
shrill,8
louder,8
savage,8
slope,8
steady,8
bank,8
remaining,8
stretch,8
shadow,8
ome,8
myself,8
fear,8
advanced,8
stayed,8
lie,8
attempt,8
oath,8
buried,8
gasped,8
carry,8
ahead,8
attention,8
flat,8
isn,8
actually,8
least,8
expected,8
arrived,8
reach,8
weight,8
rough,8
difficult,8
already,8
grip,8
realized,8
instinct,8
jim,8
bill,8
orderly,8
boyd,7
aside,7
help,7
book,7
twenty,7
inside,7
fifty,7
account,7
magazine,7
expect,7
hymn,7
lord,7
trampling,7
camp,7
sentence,7
row,7
steel,7
shall,7
sounded,7
private,7
showing,7
giving,7
crossing,7
wild,7
loose,7
nobody,7
hurry,7
partly,7
protection,7
crazy,7
blinding,7
jest,7
aim,7
instantly,7
grabbed,7
motion,7
exactly,7
jerked,7
cutting,7
sweep,7
couldn,7
bet,7
crashed,7
mile,7
attacking,7
settled,7
door,7
walked,7
crest,7
hill,7
wiped,7
flashed,7
hidden,7
slowed,7
mist,7
drowned,7
ditch,7
fust,7
meet,7
form,7
growing,7
relief,7
check,7
progress,7
somehow,7
tangle,7
certainty,7
immediately,7
closer,7
wrecked,7
blown,7
exclaimed,7
ten,7
huddled,7
exposed,7
