lemma,global_position,role,deprel,partner_lemma
bless,177,head,cc,and
gravely,178,dependent,advmod,thrice
thrice,179,dependent,xcomp,face
thrice,179,head,advmod,gravely
thrice,179,head,obj,tower
the,180,dependent,det,tower
tower,181,dependent,obj,thrice
tower,181,head,det,the
tower,181,head,conj,land
tower,181,head,conj,mountain
",",182,dependent,punct,land
the,183,dependent,det,land
surround,184,dependent,amod,land
land,185,dependent,conj,tower
land,185,head,punct,","
land,185,head,det,the
land,185,head,amod,surround
and,186,dependent,cc,mountain
the,187,dependent,det,mountain
awake,188,dependent,amod,mountain
mountain,189,dependent,conj,tower
mountain,189,head,cc,and
mountain,189,head,det,the
mountain,189,head,amod,awake
.,190,dependent,punct,face
then,191,dependent,advmod,bend
then,191,head,punct,","
",",192,dependent,punct,then
catching,193,dependent,advcl,bend
catching,193,head,obj,sight
catching,193,head,punct,","
sight,194,dependent,obj,catching
sight,194,head,nmod,stephen
of,195,dependent,case,stephen
stephen,196,dependent,nmod,sight
stephen,196,head,case,of
stephen,196,head,flat,dedalus
dedalus,197,dependent,flat,stephen
",",198,dependent,punct,catching
he,199,dependent,nsubj,bend
bend,200,head,advmod,then
bend,200,head,advcl,catching
bend,200,head,nsubj,he
bend,200,head,obl,he
bend,200,head,conj,make
bend,200,head,punct,.
towards,201,dependent,case,he
he,202,dependent,obl,bend
he,202,head,case,towards
and,203,dependent,cc,make
make,204,dependent,conj,bend
make,204,head,cc,and
make,204,head,obj,cross
make,204,head,obl,air
make,204,head,advcl,gurgle
rapid,205,dependent,amod,cross
cross,206,dependent,obj,make
cross,206,head,amod,rapid
in,207,dependent,case,air
the,208,dependent,det,air
air,209,dependent,obl,make
air,209,head,case,in
air,209,head,det,the
",",210,dependent,punct,gurgle
gurgle,211,dependent,advcl,make
gurgle,211,head,punct,","
gurgle,211,head,obl,throat
gurgle,211,head,conj,shake
in,212,dependent,case,throat
his,213,dependent,nmod:poss,throat
throat,214,dependent,obl,gurgle
throat,214,head,case,in
throat,214,head,nmod:poss,his
and,215,dependent,cc,shake
shake,216,dependent,conj,gurgle
shake,216,head,cc,and
shake,216,head,obj,head
his,217,dependent,nmod:poss,head
head,218,dependent,obj,shake
head,218,head,nmod:poss,his
.,219,dependent,punct,bend
stephen,220,dependent,nsubj,learn
stephen,220,head,flat,dedalus
stephen,220,head,acl,displease
stephen,220,head,punct,","
dedalus,221,dependent,flat,stephen
",",222,dependent,punct,displease
displease,223,dependent,acl,stephen
displease,223,head,punct,","
displease,223,head,conj,sleepy
and,224,dependent,cc,sleepy
sleepy,225,dependent,conj,displease
sleepy,225,head,cc,and
",",226,dependent,punct,stephen
learn,227,head,nsubj,stephen
learn,227,head,obj,arm
learn,227,head,obl,top
learn,227,head,conj,look
learn,227,head,punct,.
his,228,dependent,nmod:poss,arm
arm,229,dependent,obj,learn
arm,229,head,nmod:poss,his
on,230,dependent,case,top
the,231,dependent,det,top
top,232,dependent,obl,learn
top,232,head,case,on
top,232,head,det,the
top,232,head,nmod,staircase
of,233,dependent,case,staircase
the,234,dependent,det,staircase
staircase,235,dependent,nmod,top
staircase,235,head,case,of
staircase,235,head,det,the
and,236,dependent,cc,look
look,237,dependent,conj,learn
look,237,head,cc,and
look,237,head,advmod,coldly
look,237,head,obl,face
coldly,238,dependent,advmod,look
at,239,dependent,case,face
the,240,dependent,det,face
shake,241,dependent,amod,face
gurgle,242,dependent,amod,face
face,243,dependent,obl,look
face,243,head,case,at
face,243,head,det,the
face,243,head,amod,shake
face,243,head,amod,gurgle
face,243,head,acl:relcl,bless
face,243,head,conj,hair
that,244,dependent,nsubj,bless
bless,245,dependent,acl:relcl,face
bless,245,head,nsubj,that
bless,245,head,obj,he
bless,245,head,xcomp,equine
he,246,dependent,obj,bless
",",247,dependent,punct,equine
equine,248,dependent,xcomp,bless
equine,248,head,punct,","
equine,248,head,obl,length
in,249,dependent,case,length
its,250,dependent,nmod:poss,length
length,251,dependent,obl,equine
length,251,head,case,in
length,251,head,nmod:poss,its
",",252,dependent,punct,hair
and,253,dependent,cc,hair
at,254,dependent,case,hair
the,255,dependent,det,hair
light,256,dependent,amod,hair
untonsured,257,dependent,amod,hair
hair,258,dependent,conj,face
hair,258,head,punct,","
hair,258,head,cc,and
hair,258,head,case,at
hair,258,head,det,the
hair,258,head,amod,light
hair,258,head,amod,untonsured
hair,258,head,acl,grain
",",259,dependent,punct,grain
grain,260,dependent,acl,hair
grain,260,head,punct,","
grain,260,head,conj,hued
grain,260,head,obl,oak
and,261,dependent,cc,hued
hued,262,dependent,conj,grain
hued,262,head,cc,and
like,263,dependent,case,oak
pale,264,dependent,amod,oak
oak,265,dependent,obl,grain
oak,265,head,case,like
oak,265,head,amod,pale
.,266,dependent,punct,learn
buck,267,dependent,nsubj,peep
buck,267,head,flat,mulligan
mulligan,268,dependent,flat,buck
peep,269,head,nsubj,buck
peep,269,head,obj,instant
peep,269,head,obl,mirror
peep,269,head,conj,cover
peep,269,head,punct,.
a,270,dependent,det,instant
instant,271,dependent,obj,peep
instant,271,head,det,a
under,272,dependent,case,mirror
the,273,dependent,det,mirror
mirror,274,dependent,obl,peep
mirror,274,head,case,under
mirror,274,head,det,the
and,275,dependent,cc,cover
then,276,dependent,advmod,cover
cover,277,dependent,conj,peep
cover,277,head,cc,and
cover,277,head,advmod,then
cover,277,head,obj,bowl
cover,277,head,advmod,smartly
the,278,dependent,det,bowl
bowl,279,dependent,obj,cover
bowl,279,head,det,the
smartly,280,dependent,advmod,cover
.,281,dependent,punct,peep
—,282,dependent,punct,back
back,283,head,punct,—
back,283,head,obl,barrack
back,283,head,punct,!
to,284,dependent,case,barrack
barrack,285,dependent,obl,back
barrack,285,head,case,to
!,286,dependent,punct,back
he,287,dependent,nsubj,say
say,288,head,nsubj,he
say,288,head,advmod,sternly
say,288,head,punct,.
sternly,289,dependent,advmod,say
.,290,dependent,punct,say
he,291,dependent,nsubj,add
add,292,head,nsubj,he
add,292,head,obl,tone
add,292,head,punct,:
in,293,dependent,case,tone
a,294,dependent,det,preacher
preacher,295,dependent,nmod:poss,tone
preacher,295,head,det,a
preacher,295,head,case,'s
's,296,dependent,case,preacher
tone,297,dependent,obl,add
tone,297,head,case,in
tone,297,head,nmod:poss,preacher
:,298,dependent,punct,add
—,299,dependent,punct,christine
for,300,dependent,case,this
this,301,dependent,obl,christine
this,301,head,case,for
this,301,head,punct,","
