Word,Frequency
the,4199
and,2675
of,1892
a,1744
to,1521
in,836
it,791
he,689
that,634
they,499
his,439
on,439
with,435
i,423
out,377
but,356
for,345
their,343
them,323
at,315
or,294
you,292
there,289
one,277
up,272
from,260
shell,255
down,238
over,230
be,221
by,212
into,200
we,195
line,195
him,176
this,172
back,163
all,162
fire,154
gun,154
some,152
again,150
along,149
if,147
no,139
ground,135
not,133
about,132
more,129
other,126
have,126
german,125
could,123
another,123
when,120
so,120
man,116
officer,115
time,115
two,112
see,111
which,109
rifle,100
what,98
where,97
front,97
bullet,96
then,96
now,93
any,93
little,90
who,90
would,89
come,88
here,88
right,86
get,85
re,83
after,82
side,81
still,81
just,81
than,78
off,78
like,78
half,77
through,76
hole,75
me,75
too,73
minute,73
smoke,71
last,70
broken,70
look,70
head,70
go,70
across,69
long,68
first,67
others,66
open,66
way,65
left,65
o,65
attack,65
close,64
many,64
burst,63
round,63
before,63
hand,63
moment,62
three,61
only,61
can,61
good,60
our,58
machine,58
above,58
forward,57
bit,56
know,56
these,55
most,54
few,54
well,53
enough,53
each,53
every,52
because,52
much,52
wire,51
my,50
how,49
cover,49
himself,48
wall,48
word,48
until,47
without,47
order,47
thought,46
earth,46
suddenly,46
shot,46
heavy,46
under,44
do,43
same,43
chance,43
very,43
almost,42
might,42
think,42
couple,40
rush,40
past,40
british,40
ha,40
edge,39
four,39
next,38
even,38
whole,38
upon,38
foot,37
position,37
bomb,37
away,37
being,37
must,36
tell,36
behind,36
those,36
eye,36
hour,36
battle,35
nothing,35
running,35
rose,35
themselves,35
keep,35
own,35
make,34
thing,34
helmet,34
place,34
although,34
will,34
yard,33
take,33
your,33
beside,33
pit,32
while,32
face,32
near,32
voice,32
lot,31
clear,31
quick,31
move,31
company,31
say,31
crash,31
full,31
second,31
light,31
sound,31
never,31
village,30
day,30
run,30
towards,30
figure,30
quite,30
lay,30
beyond,29
both,29
find,29
found,29
sight,29
turn,29
portion,28
mud,28
dead,28
deep,28
communication,28
give,28
end,28
dozen,28
whether,27
sir,27
hundred,27
sure,27
instant,27
work,27
air,27
battery,27
mind,27
top,27
against,27
fragment,26
let,26
old,26
doctor,26
such,25
part,25
high,25
show,25
rolling,25
set,25
point,24
continued,24
shooting,24
night,24
sharp,24
quickly,24
why,24
yet,24
target,23
far,23
slowly,23
between,23
fighting,23
length,22
shoulder,22
new,22
road,22
call,22
stair,22
cut,22
casualty,22
low,22
piece,22
ear,22
rest,21
boy,21
gray,21
life,21
cloud,21
something,21
better,21
suppose,21
field,21
ready,21
her,21
somewhere,21
straight,21
wonder,20
lost,20
room,20
war,20
group,20
anything,20
entrance,20
hit,20
bottom,20
wet,20
passing,20
course,20
put,20
action,20
push,20
game,19
together,19
wound,19
chapter,19
since,19
number,19
black,19
shelter,18
step,18
oh,18
spot,18
also,18
shout,18
report,18
wait,18
coming,18
hear,18
may,18
once,17
great,17
big,17
advance,17
talk,17
support,17
ad,17
rear,17
flying,17
plain,17
flash,17
answer,16
cold,16
direction,16
case,16
narrow,16
rather,16
fight,16
hardly,16
later,16
hope,16
fresh,16
within,16
noise,16
want,16
she,16
pick,16
stream,16
rapid,16
elbow,16
fact,16
always,16
several,16
enemy,15
counter,15
stone,15
job,15
itself,15
below,15
