word,frequency
in,4931
his,3328
out,898
up,827
say,738
down,453
man,449
over,443
father,309
well,275
must,221
going,200
want,195
away,179
course,172
left,166
saw,160
miss,136
better,132
mouth,132
read,127
even,125
buck,116
looking,115
bloody,104
doe,104
pocket,103
finger,101
corner,96
case,94
sweet,87
flower,80
nice,78
dog,78
private,77
born,76
find,75
forward,75
wanted,66
chap,66
ill,63
felt,61
brown,59
taking,58
fair,58
pat,57
shadow,49
star,49
anyhow,48
certain,46
thy,46
turning,45
damn,44
skirt,42
sound,42
crown,42
telling,42
jack,42
wrong,41
silver,40
spoke,40
virgin,39
school,39
holding,39
bent,39
front,39
save,38
piece,38
pity,37
madden,37
double,36
quiet,36
minute,36
buy,35
close,34
coin,34
loose,34
bag,33
opposite,33
hole,32
grace,32
image,31
hamlet,31
broke,30
national,30
third,30
cool,29
party,29
hanging,29
asking,29
bore,28
tower,28
thee,28
led,27
queer,27
tone,27
ho,27
seated,27
showing,26
dull,26
violet,26
bosom,26
flat,26
game,26
button,25
bath,25
falling,25
forgotten,25
particular,25
following,25
guinea,25
special,24
thick,24
fancy,24
murmur,24
thumb,24
folded,24
hide,24
porter,23
changed,23
beneath,23
cloud,23
speaking,23
ready,23
cork,23
weight,22
shade,22
due,22
strand,22
bare,22
scarlet,21
chain,21
cock,21
pink,21
pipe,21
original,21
gravely,21
hoof,21
lump,21
damned,21

# 交集词汇数占词表总词数比例,2.84%
# 交集词频总和占文本总词次比例,7.26%
# 词表,COCA_20000_part3
