word,frequency
he,4271
there,814
have,694
old,488
over,443
after,428
more,315
right,248
through,248
word,230
john,196
still,195
foot,161
black,146
behind,145
every,141
even,125
bed,113
second,106
keep,91
forward,75
lynch,70
nose,68
bob,68
set,65
stone,65
talking,63
ill,63
laughing,59
fell,53
cut,52
milk,52
corny,48
paddy,46
meet,45
trying,43
sin,43
coy,41
wrong,41
spirit,38
sand,37
outside,37
bottle,37
clock,36
reverend,36
wild,36
ancient,34
real,33
hello,33
tail,33
floor,33
tram,31
subject,31
mass,31
seeing,31
common,31
drunk,30
rising,30
grand,30
quarter,29
dame,28
moustache,28
butter,28
spanish,27
bottom,27
rev,26
giving,26
violet,26
plain,26
rolled,26
twin,26
pain,26
received,25
occasion,24
dirty,24
tried,24
playing,24
wearing,24
nymph,24
drove,23
quid,23
smart,23
darling,23
sky,22
breakfast,22
jingle,22
noble,22
hang,22
bound,22
except,21
leaf,21

# 交集词汇数占词表总词数比例,1.83%
# 交集词频总和占文本总词次比例,4.54%
# 词表,COCA_20000_part4
