Word,Frequency
he,689
there,289
over,230
more,129
have,126
rifle,100
right,86
after,82
still,81
through,76
every,52
word,48
even,38
foot,37
behind,36
keep,35
fell,35
second,31
old,26
fragment,26
yer,26
set,25
sharp,24
cut,22
bayonet,20
bottom,20
entrance,20
shouting,20
black,19
fired,18
plain,17
elbow,16
stone,15
outside,15
bandage,14
chum,14
sandbag,14
sky,13
pain,12
fast,12
except,12
whistling,12
rolled,11
scrambled,11
crawl,11
plenty,11
splinter,11

# 高频交集词汇数占词表比例,0.95%
# 词表,COCA_20000_part4
