word,frequency
he,4271
there,814
have,694
old,488
over,443
after,428
more,315
through,248
right,248
word,230
john,196
still,195
foot,161
black,146
behind,145
every,141
even,125
bed,113
second,106
keep,91
forward,75
lynch,70
bob,68
nose,68
set,65
stone,65
ill,63
talking,63
laughing,59
fell,53
cut,52
milk,52
corny,48
paddy,46
meet,45
sin,43
trying,43
coy,41
wrong,41
spirit,38
sand,37
outside,37
bottle,37
reverend,36
wild,36
clock,36
ancient,34
real,33
tail,33
floor,33
hello,33
seeing,31
subject,31
mass,31
tram,31
common,31
grand,30
rising,30
drunk,30
quarter,29
dame,28
moustache,28
butter,28
spanish,27
bottom,27
giving,26
violet,26
plain,26
rolled,26
rev,26
pain,26
twin,26
received,25
dirty,24
nymph,24
tried,24
occasion,24
wearing,24
playing,24
darling,23
quid,23
smart,23
drove,23
bound,22
jingle,22
noble,22
hang,22
sky,22
breakfast,22
except,21
leaf,21
cake,20
veil,20
fast,19
sharp,19
boat,19
paw,19
brief,19
oil,19
whispered,19
sick,19
offered,18
pot,18
barrel,18
arch,18
pale,18
leaving,18
fork,18
papa,18
sell,17
scheme,17
sock,17
purple,17
capital,16
elbow,16
bleeding,16
butcher,16
rope,16
madam,16
wandering,15
constable,15
beef,15
solicitor,15
nay,15
bitch,14
sober,14
breech,14
picking,14
labour,14
awful,14
hollow,14
blank,13
lunch,13
reflected,13
peep,13
creaking,13
shaking,13
quaker,13
wing,13
mighty,12
washed,12
bazaar,12
drowning,12
bicycle,12
dropping,12
chewing,12
soiled,12
schoolboy,12
divine,12
unknown,12
incense,11
gallant,11
slim,11
rip,11
fragment,11
somewhat,11
potted,11
keeping,11
scent,11
flushed,11
gent,11
kindly,11
pop,11
knocking,11
leaning,11
cutting,11
circular,11
scotch,11
friendly,11
sticking,11
lick,10
thoroughfare,10
blinking,10
tread,10
trembling,10
reminiscence,10
gallop,10
pike,10
countenance,10
yawn,10
shove,10
slut,10
sterling,10
irishman,10
brood,10
prey,10
corporal,10
whistling,10
tank,10
carpet,10
shaving,9
sternly,9
moonlight,9
supple,9
encore,9
weeping,9
widower,9
maiden,9
alderman,9
cardinal,9
repose,9
crimson,9
mat,9
feast,9
mister,9
settled,9
plus,9
weekly,9
daily,9
hiding,9
belt,9
spite,9
hungarian,9
heartily,9
landed,9
earnestly,9
annual,9
dainty,9
blown,9
whisky,9
pensive,8
cloak,8
created,8
telegraph,8
spoil,8
flashing,8
opulent,8
buttered,8
cracking,8
tramp,8
shepherd,8
attached,8
writ,8
upturned,8
phantom,8
poisoned,8
flush,8
agreed,8
whirl,8
rudely,8
uncertainly,7
smartly,7
hog,7
shave,7
tawny,7
candlestick,7
panther,7
merciful,7
everlasting,7
steal,7
satchel,7
rhododendron,7
retriever,7
flutter,7
mermaid,7
sandwich,7
frock,7
spinning,7
waving,7
incipient,7
entrance,7
plenty,7
dictate,7
clergyman,7
serve,7
gilt,7
screaming,7
whack,7
scorn,7
winter,7
trot,7
haunch,7
visage,7
blooming,7
tumbler,7
muscle,7
departed,7
scented,7
nut,7
shouting,7
drug,7
posse,7
shapely,7
precious,6
season,6
crow,6
brazen,6
conifer,6
wart,6
eon,6
awry,6
declared,6
squeak,6
fluid,6
begging,6
loafer,6
mug,6
provost,6
loom,6
humble,6
brewery,6
yea,6
poplar,6
refuse,6
curling,6
positive,6
mournful,6
balmy,6
treated,6
ajar,6
fowl,6
tumble,6
cave,6
throb,6
ruddy,6
slumber,6
consequent,6
bulk,6
braided,6
vanished,6
bye,6
hush,6
squat,6
bondage,6
drooping,6
terrier,6
stew,6
bonnet,6
livid,5
fatigue,5
thumbnail,5
stamped,5
hurried,5
tepid,5
homely,5
sardine,5
runaway,5
boast,5
rim,5
graciously,5
talon,5
dingy,5
altercation,5
nude,5
derby,5
penance,5
spear,5
mason,5
shaved,5
