word,frequency
the,14904
of,8141
a,7692
and,7207
to,4954
he,4271
i,2989
s,2818
it,2807
that,2776
with,2515
wa,2131
on,2115
you,2012
for,1933
her,1783
him,1524
is,1432
all,1319
at,1288
by,1267
said,1208
she,1188
from,1087
they,1049
bloom,1000
what,972
or,956
me,946
mr,920
not,891
be,878
my,832
had,814
there,814
one,757
like,748
their,719
have,694
but,692
no,682
them,672
t,668
an,656
so,615
o,590
stephen,579
then,577
when,550
if,539
about,534
are,533
who,518
which,518
were,511
old,488
your,487
we,464
hand,460
time,457
eye,447
this,445
see,444
too,442
do,440
now,438
after,428
did,404
know,399
two,392
would,385
off,370
back,365
yes,358
will,353
day,337
woman,334
good,331
where,330
into,330
come,330
other,320
those,316
some,315
more,315
could,311
thing,308
street,306
ha,306
way,297
here,296
m,296
little,290
our,290
how,284
go,279
first,278
get,278
u,271
face,268
can,267
god,261
only,253
head,252
never,252
just,249
through,248
right,248
night,245
round,244
again,244
name,243
long,240
look,237
word,230
very,226
under,224
ll,223
put,223
himself,221
life,221
sir,220
because,219
make,218
before,218
let,208
j,206
been,205
voice,204
don,204
year,202
give,198
house,197
came,197
john,196
still,195
hat,193
young,192
any,191
love,191
why,190
asked,187
poor,185
last,185
made,182
went,182
got,182
take,180
being,180
tell,179
something,178
might,176
three,174
always,174
dedalus,174
though,173
fellow,171
think,170
than,169
same,168
am,163
much,163
place,163
white,163
mulligan,163
ever,161
foot,161
bit,160
world,159
lord,157
water,157
men,155
call,155
own,153
new,153
wife,151
most,150
mother,150
door,147
black,146
d,146
behind,145
told,144
girl,144
arm,141
took,141
every,141
heart,140
thought,139
without,138
joe,137
high,135
till,134
turned,134
son,133
between,133
light,132
boy,132
best,131
side,131
upon,131
such,130
while,129
against,128
hair,128
hear,128
lady,127
dark,127
great,127
child,127
dublin,127
heard,127
once,127
another,126
half,125
gave,124
gentleman,124
wait,124
dead,123
coming,122
big,122
air,120
towards,120
morning,119
point,119
letter,118
home,118
along,116
having,116
kind,116
near,115
open,115
sea,115
feel,115
suppose,114
red,113
bed,113
re,113
irish,112
paper,111
looked,110
mean,109
knew,107
martin,107
lenehan,107
money,106
second,106
both,105
zoe,105
far,103
citizen,103
book,103
full,102
past,101
these,101
wonder,100
green,100
power,100
friend,100
turn,100
watch,100
nothing,100
sure,99
c,99
p,98
mind,98
four,97
passed,97
end,96
window,95
moment,95
each,95
lip,95
may,93
soul,93
five,93
gold,93
death,92
keep,91
bad,90
body,89
gone,89
master,89
ear,89
stood,89
land,88
called,88
anything,88
also,87
lost,87
king,87
hour,87
show,86
ah,85
walk,85
quite,85
ireland,85
brother,84
table,83
dear,83
form,83
hold,83
yet,83
blue,82
sun,82
dignam,82
ten,82
should,82
brought,82
horse,81
line,81
perhaps,81
cried,81
part,81
many,80
done,80
henry,79
rose,79
professor,78
people,78
didn,77
walked,77
cunningham,77
ben,77
work,77
lovely,77
few,76
seen,76
music,76
saint,76
cry,76
used,76
remember,75
de,75
believe,74
lay,73
tea,73
today,73
run,72
matter,72
boylan,72
leopold,72
conmee,72
molly,71
slowly,71
myself,71
boot,70
enough,70
drink,70
hope,70
lynch,70
nature,69
glass,69
earth,68
next,68
shilling,68
won,68
nose,68
bob,68
grey,68
wall,67
order,67
ned,67
wind,67
number,67
evening,66
haines,66
rock,66
cissy,66
shall,66
answered,66
idea,66
fact,66
fine,66
leg,65
set,65
shoulder,65
stone,65
gerty,64
across,64
figure,64
hard,64
cold,63
daughter,63
talking,63
room,63
true,62
getting,62
age,62
rest,62
law,62
breath,62
ought,62
wouldn,61
held,61
fire,61
others,61
alf,61
waiting,61
whole,60
person,60
rather,60
holy,60
